Species,SpeciesBinom,BodyLength_m,ForagingRateRegime,DailyForageRate
Blue,Balaenoptera musculus,20,Low,138
Blue,Balaenoptera musculus,20,Average,204
Blue,Balaenoptera musculus,20,High,270
Blue,Balaenoptera musculus,21,Low,138
Blue,Balaenoptera musculus,21,Average,204
Blue,Balaenoptera musculus,21,High,270
Blue,Balaenoptera musculus,22,Low,138
Blue,Balaenoptera musculus,22,Average,204
Blue,Balaenoptera musculus,22,High,270
Blue,Balaenoptera musculus,23,Low,138
Blue,Balaenoptera musculus,23,Average,204
Blue,Balaenoptera musculus,23,High,270
Blue,Balaenoptera musculus,24,Low,138
Blue,Balaenoptera musculus,24,Average,204
Blue,Balaenoptera musculus,24,High,270
Humpback,Megaptera Novaeangliae,10,Low,296
Humpback,Megaptera Novaeangliae,10,Average,546
Humpback,Megaptera Novaeangliae,10,High,812
Humpback,Megaptera Novaeangliae,11,Low,296
Humpback,Megaptera Novaeangliae,11,Average,546
Humpback,Megaptera Novaeangliae,11,High,812
Humpback,Megaptera Novaeangliae,12,Low,296
Humpback,Megaptera Novaeangliae,12,Average,546
Humpback,Megaptera Novaeangliae,12,High,812
Humpback,Megaptera Novaeangliae,13,Low,296
Humpback,Megaptera Novaeangliae,13,Average,546
Humpback,Megaptera Novaeangliae,13,High,812
Humpback,Megaptera Novaeangliae,14,Low,296
Humpback,Megaptera Novaeangliae,14,Average,546
Humpback,Megaptera Novaeangliae,14,High,812
