Whale_ID,Species,SpeciesBinom,Source,Provider,Migration_Start,Migration_End,Migratory_Route_Detailed,Migratory_Route_Simple,Direction_of_Travel,Migration_Distance_km,Migration_Duration_days,Migration_Speed_m_s,Distance_Present,Duration_Present,Speed_Present,Unidirectional,Single Animal,Data Type,Complete,Deployment Date,Detailed Location,Notes
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Amundsen and Bellinshausen Seas,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,5564,63,1.022192828,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Amundsen and Bellinshausen Seas,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,6161,56,1.273354828,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Amundsen and Bellinshausen Seas,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,5025,53,1.097353249,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Ross Sea,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,3709,37,1.160222723,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Ross Sea,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,5487,87,0.729964879,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Ross Sea,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,5517,95,0.672149123,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Ross Sea,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,4202,48,1.013213735,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),Kermadec Islands,Ross Sea,Southern Oceania - New Zealand - Antarctic,Southern Oceania - New Zealand,Polar,4127,55,0.868476431,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),East Australia,d'Urville Sea,Southern Oceania - East Australia - Antarctic,Southern Oceania - Australia,Polar,4158,39,1.233974359,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Riekkola et al. 2020,Article (Found),East Australia,d'Urville Sea,Southern Oceania - East Australia - Antarctic,Southern Oceania - Australia,Polar,5579,76,0.849628411,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Modest et al. 2021,Article (Found),Western Antarctic Peninsula,South America,South Pacific Coast - Antarctic - South America,South Pacific Coast,Equatorial,6654,47,1.638593381,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Modest et al. 2021,Article (Found),Western Antarctic Peninsula,South America,South Pacific Coast - Antarctic - South America,South Pacific Coast,Equatorial,6640,50,1.537037037,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Modest et al. 2021,Article (Found),Western Antarctic Peninsula,South America,South Pacific Coast - Antarctic - South America,South Pacific Coast,Equatorial,6652,54,1.425754458,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Modest et al. 2021,Article (Found),Western Antarctic Peninsula,South America,South Pacific Coast - Antarctic - South America,South Pacific Coast,Equatorial,6714,54,1.43904321,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Modest et al. 2021,Article (Found),Western Antarctic Peninsula,South America,South Pacific Coast - Antarctic - South America,South Pacific Coast,Equatorial,6532,41,1.843947606,Y,Y,N,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Kettemer et al. 2022,Article (Found),Norway,West Indies,Cross-Atlantic - Norway - Caribbean,Cross-Atlantic,Equatorial,9500,68,1.616966231,Y,Y,Y,Y,Y,Sat Tag,Y,,,
,Humpback,Megaptera novaeangliae,Kettemer et al. 2022,Article (Found),West Indies,Norway,Cross-Atlantic - Norway - Caribbean,Cross-Atlantic,Polar,9000,71,1.46713615,Y,Y,Y,Y,Y,Sat Tag,Y,,,
,Fin,Balaenoptera physalus,Perez-Jorge et al. 2020,MoveBank,Azores,Eastern Greenland,North Atlantic - Azores - Greenland,North Atlantic,Polar,3986,28.7,1.607465479,Y,Y,N,Y,Y,Sat Tag,Y,,,Calculated From MoveBank Dataset
Varvara,Gray,Eschrichtius robustus,Mate et al. 2015,Article (Found),Sakhalin Island,Gulf of California,North Pacific Rim - Russia - Gulf of California,North Pacific Rim,Equatorial,10880,69.5,1.811883826,Y,Y,N,Y,Y,Sat Tag,Y,,,
Varvara,Gray,Eschrichtius robustus,Mate et al. 2015,Article (Found),Baja California,Sakhalin Island,North Pacific Rim - Russia - Gulf of California,North Pacific Rim,Polar,10484,78.8,1.539880617,Y,Y,N,Y,Y,Sat Tag,Y,,,
830,Humpback,Megaptera novaeangliae,NAVFAC Pacific,Daniel Palacios,,,,,,,30.8,,N,Y,N,Y,Y,Sat Tag,N,Deployed 04-05-1997,Aleutians and Kamchatka,
10826,Humpback,Megaptera novaeangliae,NAVFAC Pacific,Daniel Palacios,,,,,,,30.4,,N,Y,N,Y,Y,Sat Tag,N,Deployed 04-15-1998,"Northern BC, SE Alaska",
10828,Humpback,Megaptera novaeangliae,NAVFAC Pacific,Daniel Palacios,,,,,,,41.6,,N,Y,N,Y,Y,Sat Tag,N,Deployed 02-11-1999,Aleutians (vis KRS),
845,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Southeast Alaska,Maui,North Pacific - Hawaii - Southeast Alaska,North Pacific - Alaska,Equatorial,4744,37.2,1.476005575,Y,Y,N,Y,Y,Sat Tag,Y,,,
10833,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Southeast Alaska,Maui,North Pacific - Hawaii - Southeast Alaska,North Pacific - Alaska,Equatorial,4303,46.2,1.077992224,Y,Y,N,Y,Y,Sat Tag,Y,,,
10834,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Southeast Alaska,Gulf of California,North Pacific - Southeast Alaska - Gulf of California,Pacific Coast - Gulf of California,Equatorial,4213,28.1,1.735287334,Y,Y,N,Y,Y,Sat Tag,Y,,,
4172,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Maui,Northern British Columbia,North Pacific - Hawaii - Southeast Alaska,North Pacific - Alaska,Polar,4339,29.8,1.685231792,Y,Y,N,Y,Y,Sat Tag,Y,,,
5736,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Maui,Aleutians,North Pacific - Hawaii - Aleutians,North Pacific - Aleutians,Polar,3775,28,1.560433201,Y,Y,N,Y,Y,Sat Tag,Y,,,
5800,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Maui,Northern British Columbia,North Pacific - Hawaii - Southeast Alaska,North Pacific - Alaska,Polar,5030,34.5,1.687466452,Y,Y,N,Y,Y,Sat Tag,Y,,,
5784,Humpback,Megaptera novaeangliae,Palacios et al. 2019,Daniel Palacios,Maui,Northern British Columbia,North Pacific - Hawaii - Southeast Alaska,North Pacific - Alaska,Polar,4662,44.8,1.204427083,Y,Y,N,Y,Y,Sat Tag,Y,,,
1995CA-Bmu-23040,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"4,711",44,1.240524549,Y,Y,N,Y,Y,Sat Tag,Y,,"Santa Barbara Channel, CA",
1998CA-Bmu-10823,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"5,136",50,1.188884027,Y,Y,N,Y,Y,Sat Tag,Y,,"Tanner Bank, CA",
1999CA-Bmu-00838,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Gulf of California,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"2,473",37.3,0.767189469,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
1999CA-Bmu-04172,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"4,815",41.6,1.339924051,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
1999CA-Bmu-04176,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Gulf of California,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"3,840",59.5,0.746869867,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
1999CA-Bmu-23030,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Gulf of California,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"1,647",19,1.003491408,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
1999CA-Bmu-23031,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Gulf of California,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"1,607",16.7,1.117176589,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
2000CA-Bmu-01386,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Central California,Costa Rica Dome,North Pacific - Central California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"3,764",44.1,0.988293063,Y,Y,N,Y,Y,Sat Tag,Y,,"Farallon Islands, CA",
2000CA-Bmu-01390,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Central California,Costa Rica Dome,North Pacific - Central California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,,,,N,N,N,Y,Y,Sat Tag,N,,"Farallon Islands, CA",
2000CA-Bmu-10828,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Central California,Costa Rica Dome,North Pacific - Central California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"4,168",40.9,1.180927347,Y,Y,N,Y,Y,Sat Tag,Y,,"Farallon Islands, CA",
2000CA-Bmu-10832,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,,Costa Rica Dome,,,Equatorial,,,,N,N,N,Y,Y,Sat Tag,N,,"Farallon Islands, CA",
2001MX-Bmu-10831,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Gulf of California,Southern California Bight,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Polar,"3,661",59,0.718205032,Y,Y,N,Y,Y,Sat Tag,Y,,"Central-west Gulf of California, Mexico",
2004CA-Bmu-10821,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Gulf of California,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"1,932",14.6,1.536334745,Y,Y,N,Y,Y,Sat Tag,Y,,"Santa Barbara Channel, CA",
2004CA-Bmu-00840,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Northern California,Gulf of California,North Pacific - Northern California - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"3,076",42.5,0.837753801,Y,Y,N,Y,Y,Sat Tag,Y,,"Half Moon Bay, CA",
2004CA-Bmu-00840,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Gulf of California,Southern California Bight,North Pacific - Southern California - Gulf of California,Pacific Coast - Gulf of California,Polar,"1,824",17,1.241547125,Y,Y,N,Y,Y,Sat Tag,Y,,"Half Moon Bay, CA",
2005CA-Bmu-01390,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"4,233",44.5,1.101754772,Y,Y,N,Y,Y,Sat Tag,Y,,"Monterey Bay, CA",
2005CA-Bmu-10821,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"8,125",98,0.959706098,Y,Y,N,Y,Y,Sat Tag,Y,,"Carmel, CA",
2005CA-Bmu-10829,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Washington,Gulf of California,North Pacific - Washington - Gulf of California,Pacific Coast - Gulf of California,Equatorial,"4,184",61.2,0.791409281,Y,Y,N,Y,Y,Sat Tag,Y,,"Piedras Blancas, CA",
2006CA-Bmu-10840,Blue,Balaenoptera musculus,Palacios et al. 2019,Daniel Palacios,Southern California Bight,Costa Rica Dome,North Pacific - Southern California - Costa Rica Dome,Pacific Coast - Costa Rica Dome,Equatorial,"3,498",118.5,0.341530369,Y,Y,N,Y,Y,Sat Tag,Y,,"San Miguel Island, CA",
